total_score,soap_errors,content_errors,consistency_errors,hallucinations,missing_points,subjective_errors,objective_errors,assessment_errors,plan_errors
42,0,2,1,0,2,0,0,0,0
39,0,2,1,0,1,0,0,0,0
38,0,2,0,0,2,0,0,0,0
44,0,0,1,0,0,0,0,0,0
44,0,0,1,0,0,0,0,0,0
37,0,5,1,1,4,0,0,0,0
39,0,4,2,0,3,0,0,0,0
44,0,0,1,0,0,0,0,0,0
40,0,2,2,0,2,0,0,0,0
36,0,4,2,0,4,0,0,0,0
38,0,3,2,0,3,0,0,0,0
41,0,2,1,0,2,0,0,0,0
39,0,3,1,0,3,0,0,0,0
40,0,2,2,0,2,0,0,0,0
31,8,3,1,0,1,2,2,2,2
42,0,2,2,0,2,0,0,0,0
38,0,2,1,0,2,0,0,0,0
44,0,0,1,0,0,0,0,0,0
42,0,1,1,0,1,0,0,0,0
37,0,1,2,0,1,0,0,0,0
40,0,3,2,0,3,0,0,0,0
40,0,2,1,0,2,0,0,0,0
36,0,4,1,0,3,0,0,0,0
44,0,0,1,0,0,0,0,0,0
30,2,5,1,1,3,2,0,0,0
43,0,0,1,0,0,0,0,0,0
42,0,1,1,0,1,0,0,0,0
35,0,3,2,0,3,0,0,0,0
41,0,2,1,0,2,0,0,0,0
34,9,4,0,0,2,3,2,2,2
34,23,3,0,0,2,5,4,7,7
42,0,1,1,0,1,0,0,0,0
44,0,0,1,0,0,0,0,0,0
43,0,1,1,0,1,0,0,0,0
35,10,2,0,0,2,0,0,5,5
41,0,3,1,0,3,0,0,0,0
43,0,2,1,0,2,0,0,0,0
42,0,2,1,0,2,0,0,0,0
44,0,0,1,0,0,0,0,0,0
41,0,2,1,0,2,0,0,0,0
44,0,0,1,0,0,0,0,0,0
44,0,0,1,0,0,0,0,0,0
41,0,3,2,0,3,0,0,0,0
44,0,0,1,0,0,0,0,0,0
43,0,1,1,0,1,0,0,0,0
40,0,3,1,0,3,0,0,0,0
41,0,1,1,0,1,0,0,0,0
44,0,0,1,0,0,0,0,0,0
44,0,0,1,0,0,0,0,0,0
43,0,1,1,0,1,0,0,0,0
44,0,0,1,0,0,0,0,0,0
44,0,0,1,0,0,0,0,0,0
43,0,0,1,0,0,0,0,0,0
43,0,1,1,0,1,0,0,0,0
43,0,1,1,0,1,0,0,0,0
30,0,4,2,0,3,0,0,0,0
40,0,3,1,0,3,0,0,0,0
41,0,2,2,0,2,0,0,0,0
43,0,2,1,0,2,0,0,0,0
43,0,0,1,0,0,0,0,0,0
39,0,2,1,0,2,0,0,0,0
38,0,3,0,0,3,0,0,0,0
41,0,2,1,0,2,0,0,0,0
44,0,0,1,0,0,0,0,0,0
41,0,2,1,0,2,0,0,0,0
41,0,2,1,0,2,0,0,0,0
36,0,3,2,0,3,0,0,0,0
40,0,2,2,0,2,0,0,0,0
37,0,2,1,0,2,0,0,0,0
40,0,4,2,0,3,0,0,0,0
31,3,4,1,0,3,2,1,0,0
42,0,3,1,0,3,0,0,0,0
34,0,3,3,0,3,0,0,0,0
43,0,0,1,0,0,0,0,0,0
44,0,2,1,0,2,0,0,0,0
43,0,1,1,0,1,0,0,0,0
44,0,0,1,0,0,0,0,0,0
32,0,2,2,0,2,0,0,0,0
41,0,1,1,0,1,0,0,0,0
40,0,2,1,0,2,0,0,0,0
39,0,3,1,0,3,0,0,0,0
41,0,3,2,0,2,0,0,0,0
44,0,0,1,0,0,0,0,0,0
35,3,2,1,0,2,2,1,0,0
44,0,0,1,0,0,0,0,0,0
35,2,4,1,1,2,2,0,0,0
43,0,1,1,0,1,0,0,0,0
35,1,2,0,0,2,0,0,1,0
43,0,1,1,0,1,0,0,0,0
35,9,3,1,0,2,0,0,9,0
37,0,2,1,0,2,0,0,0,0
35,0,2,2,0,2,0,0,0,0
40,0,2,1,0,2,0,0,0,0
44,0,0,1,0,0,0,0,0,0
40,0,2,2,0,2,0,0,0,0
34,0,4,2,0,4,0,0,0,0
39,0,2,2,0,2,0,0,0,0
34,2,3,1,0,2,2,0,0,0
36,1,4,2,0,3,1,0,0,0
42,0,2,1,0,2,0,0,0,0
39,0,2,1,0,1,0,0,0,0
38,0,2,0,0,2,0,0,0,0
44,0,0,1,0,0,0,0,0,0
44,0,0,1,0,0,0,0,0,0
37,0,5,1,1,4,0,0,0,0
39,0,4,2,0,3,0,0,0,0
44,0,0,1,0,0,0,0,0,0
40,0,2,2,0,2,0,0,0,0
36,0,4,2,0,4,0,0,0,0
38,0,3,2,0,3,0,0,0,0
41,0,2,1,0,2,0,0,0,0
39,0,3,1,0,3,0,0,0,0
40,0,2,2,0,2,0,0,0,0
31,8,3,1,0,1,2,2,2,2
42,0,2,2,0,2,0,0,0,0
38,0,2,1,0,2,0,0,0,0
44,0,0,1,0,0,0,0,0,0
42,0,1,1,0,1,0,0,0,0
37,0,1,2,0,1,0,0,0,0
40,0,3,2,0,3,0,0,0,0
40,0,2,1,0,2,0,0,0,0
36,0,4,1,0,3,0,0,0,0
